3.0432	0.05721	-0.017917
5.3533	1.639	0.49341
4.8908	2.4913	0.705
2.8368	1.5985	-1.5944
1.6375	-0.27593	-1.1957
1.8205	-1.5122	-0.22188
2.0915	-1.0333	0.48385
1.6401	-0.42468	-0.32599
2.9032	-1.2724	1.7644
1.6601	-0.24556	-0.061991
1.7966	-0.19958	-1.5669
1.803	-0.81368	0.34702
3.3318	-1.0778	2.1765
0.15031	-1.3369	-1.2666
0.53812	-2.7661	-1.3385
1.4643	-0.31244	0.11136
3.5671	-0.47053	1.4814
1.3282	-1.0892	-0.97902
0.88873	-0.26306	-1.8595
1.5626	0.69711	-1.3013
-2.5621	-0.92501	1.3078
-3.1615	-0.53111	-0.02385
-0.92637	0.0045274	-0.54624
-0.95016	0.37	-0.58762
-2.6387	-0.12412	0.19349
-2.578	-0.11014	0.50728
-1.4138	0.47495	-0.62298
-1.6614	1.4844	-0.93752
-2.7493	0.19255	0.69308
-2.7486	-0.73015	-0.18522
-2.6731	1.7601	0.90884
-3.6178	0.76589	-2.0125
-2.7142	-0.16665	2.3549
-1.5672	1.7349	0.5283
-1.6829	1.1363	-1.3403
-3.2343	-1.9331	1.1246
-1.0494	2.1505	2.0021
-1.5766	2.3677	0.4372
-1.8914	-0.72556	1.3068
-2.9108	-0.58578	-0.94136
